SIMULACION NUMERO : 1
-------------------------------- 
t_funcionando      t_parado        t_total_func       t_total_parado       t_total       Disponibilidad 
        86,9973         25,3435       5505,1520       2077,9134       7583,0654          0,7260 
        35,4845         21,6627       5540,6365       2099,5762       7640,2127          0,7252 
        92,3283          9,9685       5632,9648       2109,5447       7742,5095          0,7275 
        97,5230         22,8086       5730,4878       2132,3533       7862,8411          0,7288 
        88,5028         24,1780       5818,9906       2156,5313       7975,5219          0,7296 
        66,0129         31,8895       5885,0036       2188,4208       8073,4244          0,7289 
        82,5545         19,0673       5967,5581       2207,4881       8175,0462          0,7300 
        85,8802         15,6137       6053,4383       2223,1018       8276,5401          0,7314 
        68,2599         28,5462       6121,6982       2251,6480       8373,3462          0,7311 
        30,6277         21,6780       6152,3259       2273,3260       8425,6519          0,7302 
        52,2062         29,9537       6204,5321       2303,2797       8507,8118          0,7293 
        77,9995         17,0629       6282,5317       2320,3426       8602,8742          0,7303 
        72,8360         28,7753       6355,3677       2349,1179       8704,4856          0,7301 
        88,1043         24,1232       6443,4720       2373,2411       8816,7131          0,7308 
        76,4050         10,1031       6519,8770       2383,3442       8903,2212          0,7323 
        94,9757         30,7658       6614,8526       2414,1100       9028,9626          0,7326 
        58,0347         26,4313       6672,8873       2440,5413       9113,4286          0,7322 
        58,6461          7,8841       6731,5334       2448,4254       9179,9588          0,7333 
        98,8285         38,3412       6830,3619       2486,7666       9317,1285          0,7331 
        78,9394         13,1250       6909,3012       2499,8916       9409,1928          0,7343 
        86,3312         27,4799       6995,6325       2527,3715       9523,0040          0,7346 
        47,5311         23,8867       7043,1636       2551,2582       9594,4217          0,7341 
        66,6422         28,9798       7109,8057       2580,2380       9690,0437          0,7337 
        31,7940         34,8972       7141,5997       2615,1352       9756,7349          0,7320 
        85,5425         34,0122       7227,1422       2649,1474       9876,2896          0,7318 
        93,2339         20,2873       7320,3762       2669,4348       9989,8109          0,7328 
        34,9201         23,1794       7355,2963       2692,6142      10047,9105          0,7320 
        93,0921         10,9164       7448,3884       2703,5307      10151,9190          0,7337 
        90,9109         32,5227       7539,2992       2736,0534      10275,3526          0,7337 
        88,2668         14,6080       7627,5660       2750,6614      10378,2274          0,7350 
        48,1926         21,7091       7675,7586       2772,3704      10448,1290          0,7347 
        87,1283         31,4768       7762,8869       2803,8472      10566,7341          0,7347 
        71,4625         33,2118       7834,3494       2837,0590      10671,4084          0,7341 
        54,7613         12,3444       7889,1107       2849,4034      10738,5141          0,7347 
        96,9512         32,4595       7986,0619       2881,8628      10867,9248          0,7348 
        49,4430         26,6956       8035,5049       2908,5584      10944,0633          0,7342 
        96,7647         34,1709       8132,2697       2942,7293      11074,9990          0,7343 
        74,8038         29,9887       8207,0735       2972,7181      11179,7916          0,7341 
        61,1587         12,7417       8268,2322       2985,4597      11253,6919          0,7347 
        84,7033         38,2143       8352,9355       3023,6740      11376,6095          0,7342 
        74,3961         39,4948       8427,3316       3063,1688      11490,5004          0,7334 
        80,7794         34,8644       8508,1110       3098,0333      11606,1443          0,7331 
        43,3485         24,3440       8551,4595       3122,3773      11673,8368          0,7325 
        75,4921         37,0369       8626,9515       3159,4142      11786,3658          0,7319 
        78,1258         16,5881       8705,0774       3176,0024      11881,0797          0,7327 
        40,9645         13,9250       8746,0418       3189,9274      11935,9692          0,7327 
        38,2146         22,4634       8784,2565       3212,3908      11996,6472          0,7322 
        94,7999         18,8471       8879,0563       3231,2379      12110,2942          0,7332 
Disponibilidad Operacional media=          0,7337 
                                
SIMULACION NUMERO : 23
-------------------------------- 
t_funcionando      t_parado        t_total_func       t_total_parado       t_total       Disponibilidad 
        86,3139         23,7879         86,3139         23,7879        110,1018          0,7839 
        94,3577         31,0624        180,6716         54,8503        235,5219          0,7671 
        51,8627         35,5013        232,5343         90,3516        322,8859          0,7202 
        92,2246          7,7249        324,7589         98,0765        422,8354          0,7681 
        67,8556         17,1147        392,6145        115,1912        507,8057          0,7732 
        61,4205         15,1486        454,0350        130,3398        584,3748          0,7770 
        89,5162         13,7547        543,5512        144,0944        687,6457          0,7905 
        77,1489         29,9735        620,7001        174,0679        794,7680          0,7810 
        99,4358         36,2543        720,1359        210,3222        930,4582          0,7740 
        71,7421         16,0817        791,8780        226,4039       1018,2819          0,7777 
        80,4217         39,0675        872,2997        265,4714       1137,7711          0,7667 
        68,5719          9,2026        940,8716        274,6740       1215,5456          0,7740 
        40,1087         21,6362        980,9803        296,3102       1277,2905          0,7680 
        63,2108         28,9746       1044,1910        325,2848       1369,4758          0,7625 
        73,0405          9,2410       1117,2315        334,5258       1451,7573          0,7696 
        63,5639         23,0114       1180,7954        357,5372       1538,3326          0,7676 
        92,8353         16,2747       1273,6307        373,8119       1647,4427          0,7731 
        92,4501         37,9012       1366,0809        411,7131       1777,7940          0,7684 
        47,8216          8,7263       1413,9024        420,4395       1834,3419          0,7708 
        74,3495         32,4282       1488,2519        452,8677       1941,1196          0,7667 
        36,7038         30,2140       1524,9556        483,0817       2008,0373          0,7594 
        51,2508         36,1781       1576,2064        519,2598       2095,4663          0,7522 
        35,3698         20,2977       1611,5763        539,5575       2151,1338          0,7492 
        34,1985         22,9332       1645,7748        562,4907       2208,2655          0,7453 
        73,1896         22,1955       1718,9643        584,6862       2303,6506          0,7462 
        45,2536         14,6183       1764,2179        599,3045       2363,5225          0,7464 
        91,0591         28,4668       1855,2771        627,7714       2483,0484          0,7472 
        74,7084         34,4805       1929,9855        662,2518       2592,2374          0,7445 
        97,0387         35,1375       2027,0243        697,3893       2724,4136          0,7440 
        70,9328         35,6704       2097,9570        733,0598       2831,0168          0,7411 
        57,2466         14,3599       2155,2037        747,4196       2902,6233          0,7425 
        58,4971         22,6052       2213,7008        770,0249       2983,7257          0,7419 
        87,8915         38,8012       2301,5923        808,8260       3110,4183          0,7400 
        54,4496         25,7829       2356,0419        834,6089       3190,6508          0,7384 
        51,8779         31,3261       2407,9198        865,9350       3273,8549          0,7355 
        60,9100         38,0077       2468,8298        903,9427       3372,7726          0,7320 
        47,7052         34,2501       2516,5350        938,1929       3454,7279          0,7284 
        42,5604          7,5562       2559,0954        945,7491       3504,8446          0,7302 
        76,7711         29,0058       2635,8666        974,7549       3610,6215          0,7300 
        99,3023         31,4679       2735,1689       1006,2227       3741,3916          0,7311 
        56,8481         39,7233       2792,0170       1045,9460       3837,9630          0,7275 
        33,4232         12,0950       2825,4402       1058,0410       3883,4812          0,7276 
        89,5000         15,2047       2914,9402       1073,2457       3988,1859          0,7309 
        72,9044         15,1555       2987,8446       1088,4013       4076,2458          0,7330 
        74,9653          8,9603       3062,8098       1097,3615       4160,1714          0,7362 
        98,5093         20,2641       3161,3191       1117,6257       4278,9448          0,7388 
        62,7291         32,2372       3224,0482       1149,8628       4373,9110          0,7371 
        56,6921         35,8005       3280,7403       1185,6633       4466,4036          0,7345 
        50,7447         34,4130       3331,4850       1220,0763       4551,5613          0,7319 
        34,0015         10,7303       3365,4865       1230,8066       4596,2931          0,7322 
        33,7576         23,1964       3399,2441       1254,0030       4653,2471          0,7305 
        41,9198         36,0347       3441,1639       1290,0377       4731,2016          0,7273 
        31,3229         16,1833       3472,4868       1306,2210       4778,7078          0,7267 
        98,4548          8,5349       3570,9416       1314,7559       4885,6974          0,7309 
        62,9753         27,5206       3633,9169       1342,2765       4976,1934          0,7303 
        41,5208         16,5982       3675,4377       1358,8747       5034,3124          0,7301 
        90,3833         34,8290       3765,8210       1393,7037       5159,5247          0,7299 
        63,9680         20,1216       3829,7889       1413,8253       5243,6142          0,7304 
        42,1887         15,3394       3871,9776       1429,1646       5301,1422          0,7304 
        73,6020         26,0870       3945,5796       1455,2516       5400,8313          0,7306 
        54,5526         10,3707       4000,1322       1465,6223       5465,7546          0,7319 
        94,8772         15,3536       4095,0094       1480,9759       5575,9854          0,7344 
        83,0916          8,3077       4178,1010       1489,2837       5667,3847          0,7372 
        63,0448         23,1096       4241,1458       1512,3932       5753,5391          0,7371 
        61,1113         17,1209       4302,2571       1529,5141       5831,7712          0,7377 
        80,4352         34,6362       4382,6923       1564,1504       5946,8426          0,7370 
        72,6774         35,9407       4455,3697       1600,0911       6055,4608          0,7358 
        78,1440         36,4606       4533,5136       1636,5517       6170,0653          0,7348 
        87,4932         12,5791       4621,0068       1649,1308       6270,1376          0,7370 
        39,4847         25,8667       4660,4915       1674,9975       6335,4890          0,7356 
        48,9491         25,6915       4709,4406       1700,6890       6410,1296          0,7347 
        84,3243          7,6773       4793,7649       1708,3663       6502,1312          0,7373 
        92,6374         29,6990       4886,4023       1738,0653       6624,4676          0,7376 
        67,7527         27,6004       4954,1550       1765,6657       6719,8207          0,7372 
        49,5654         39,4618       5003,7205       1805,1276       6808,8480          0,7349 
        78,9032          8,4403       5082,6236       1813,5679       6896,1915          0,7370 
        44,5468         22,7994       5127,1704       1836,3673       6963,5377          0,7363 
        83,3603         38,4007       5210,5307       1874,7680       7085,2987          0,7354 
        69,4788         37,2657       5280,0095       1912,0337       7192,0432          0,7341 
        38,4971         39,3159       5318,5066       1951,3496       7269,8562          0,7316 
        86,4349         23,1620       5404,9414       1974,5116       7379,4531          0,7324 
        72,1445         12,4246       5477,0860       1986,9363       7464,0222          0,7338 
        93,0934         17,7950       5570,1794       2004,7312       7574,9106          0,7353 
        77,6825         39,5257       5647,8619       2044,2569       7692,1188          0,7342 
        40,8873         26,5529       5688,7491       2070,8098       7759,5589          0,7331 
        70,3405          7,1670       5759,0896       2077,9768       7837,0664          0,7349 
        38,2048          8,6885       5797,2944       2086,6653       7883,9597          0,7353 
        51,5385         32,8833       5848,8329       2119,5486       7968,3815          0,7340 
        52,8256         36,9077       5901,6586       2156,4563       8058,1149          0,7324 
        55,0824          9,3299       5956,7410       2165,7862       8122,5272          0,7334 
        65,0212         34,9778       6021,7622       2200,7640       8222,5262          0,7323 
        44,6064         22,2049       6066,3686       2222,9689       8289,3375          0,7318 
        72,5653         29,3363       6138,9339       2252,3052       8391,2391          0,7316 
        74,0756         11,3199       6213,0095       2263,6251       8476,6346          0,7330 
        38,0292         31,2957       6251,0387       2294,9208       8545,9595          0,7315 
        53,0133         36,8382       6304,0520       2331,7590       8635,8110          0,7300 
        33,3374         12,1554       6337,3894       2343,9145       8681,3039          0,7300 
        83,5854         32,7712       6420,9749       2376,6856       8797,6605          0,7299 
        97,5041         27,1854       6518,4789       2403,8710       8922,3500          0,7306 
        38,3433         25,7340       6556,8222       2429,6051       8986,4273          0,7296 
        30,4670         25,2721       6587,2891       2454,8772       9042,1663          0,7285 
        62,8106         29,6708       6650,0997       2484,5480       9134,6477          0,7280 
        58,5180         29,8874       6708,6177       2514,4354       9223,0531          0,7274 
        94,8503         12,1692       6803,4681       2526,6046       9330,0727          0,7292 
        41,9754         39,2722       6845,4434       2565,8768       9411,3203          0,7274 
        73,7820         28,7037       6919,2254       2594,5806       9513,8060          0,7273 
        69,1176          8,6759       6988,3430       2603,2565       9591,5995          0,7286 
        63,5277         38,6272       7051,8707       2641,8837       9693,7544          0,7275 
        49,6766         11,6632       7101,5474       2653,5469       9755,0942          0,7280 
        68,9414         14,4078       7170,4888       2667,9546       9838,4434          0,7288 
        78,8229         25,1589       7249,3117       2693,1136       9942,4253          0,7291 
        90,9646         20,8369       7340,2763       2713,9505      10054,2268          0,7301 
        48,4625         29,1795       7388,7388       2743,1299      10131,8687          0,7293 
        97,0168         38,7126       7485,7556       2781,8425      10267,5980          0,7291 
        49,9963         24,3827       7535,7519       2806,2252      10341,9770          0,7287 
        87,4000         30,5752       7623,1518       2836,8004      10459,9522          0,7288 
        85,0973         33,0905       7708,2491       2869,8909      10578,1400          0,7287 
        34,4752         38,2379       7742,7243       2908,1289      10650,8532          0,7270 
        56,5363         24,2150       7799,2606       2932,3439      10731,6045          0,7268 
        33,7348         37,1791       7832,9954       2969,5230      10802,5185          0,7251 
        82,5297         22,6092       7915,5251       2992,1323      10907,6574          0,7257 
        97,1881         11,5130       8012,7133       3003,6452      11016,3585          0,7273 
        37,7544         29,1454       8050,4676       3032,7906      11083,2582          0,7264 
        54,1755         39,8975       8104,6431       3072,6881      11177,3312          0,7251 
        77,4081         33,6345       8182,0512       3106,3226      11288,3738          0,7248 
        64,9895         34,1601       8247,0407       3140,4827      11387,5234          0,7242 
        33,8761         36,5255       8280,9168       3177,0082      11457,9250          0,7227 
        90,9159         22,0612       8371,8328       3199,0694      11570,9022          0,7235 
        77,7943          8,6310       8449,6271       3207,7004      11657,3275          0,7248 
        59,6271         31,2647       8509,2542       3238,9651      11748,2194          0,7243 
        81,5323         38,8597       8590,7865       3277,8249      11868,6114          0,7238 
        90,9688         28,2629       8681,7553       3306,0877      11987,8430          0,7242 
        41,0563         37,0648       8722,8115       3343,1526      12065,9641          0,7229 
Disponibilidad Operacional media=          0,7333 
                                
SIMULACION NUMERO : 24
-------------------------------- 
t_funcionando      t_parado        t_total_func       t_total_parado       t_total       Disponibilidad 
        90,9410         32,3506         90,9410         32,3506        123,2916          0,7376 
        99,0797         24,5680        190,0207         56,9186        246,9392          0,7695 
        70,5517         32,0611        260,5723         88,9797        349,5520          0,7454 
        36,1569         28,1790        296,7292        117,1587        413,8879          0,7169 
        63,1837         14,4073        359,9129        131,5660        491,4789          0,7323 
        71,3308         31,2275        431,2438        162,7935        594,0372          0,7260 
        51,5966         26,5583        482,8404        189,3518        672,1922          0,7183 
        52,8718         38,6961        535,7122        228,0479        763,7601          0,7014 
        49,8610         22,7923        585,5732        250,8403        836,4134          0,7001 
        31,8829         39,8999        617,4560        290,7401        908,1962          0,6799 
        76,1320         36,4489        693,5880        327,1891       1020,7771          0,6795 
        94,4276         27,0485        788,0156        354,2376       1142,2532          0,6899 
        48,4680         17,8790        836,4836        372,1166       1208,6002          0,6921 
        36,8896         17,4960        873,3732        389,6126       1262,9858          0,6915 
        42,4841         32,9043        915,8573        422,5168       1338,3741          0,6843 
        72,1417         17,4115        987,9990        439,9284       1427,9273          0,6919 
        98,5167         13,5908       1086,5157        453,5192       1540,0348          0,7055 
        86,0342         26,0464       1172,5498        479,5655       1652,1154          0,7097 
        30,7028         11,7816       1203,2526        491,3471       1694,5997          0,7101 
        45,9458         31,4340       1249,1984        522,7811       1771,9795          0,7050 
        81,4555         20,6483       1330,6538        543,4294       1874,0833          0,7100 
        59,4461         28,3102       1390,1000        571,7396       1961,8396          0,7086 
        90,6172         38,3041       1480,7171        610,0438       2090,7609          0,7082 
        81,8631         34,4087       1562,5802        644,4525       2207,0327          0,7080 
        58,5988         32,5976       1621,1790        677,0501       2298,2291          0,7054 
        77,7203         19,9501       1698,8993        697,0002       2395,8995          0,7091 
        73,2202         12,3124       1772,1195        709,3126       2481,4321          0,7142 
        47,6419         39,2804       1819,7614        748,5930       2568,3544          0,7085 
        89,3465         19,5176       1909,1078        768,1106       2677,2184          0,7131 
        48,7974         15,2382       1957,9052        783,3488       2741,2540          0,7142 
        76,2703         32,4066       2034,1755        815,7554       2849,9309          0,7138 
        62,4410         29,7395       2096,6166        845,4949       2942,1114          0,7126 
        73,5707         16,0730       2170,1873        861,5679       3031,7552          0,7158 
        82,8750         10,5905       2253,0623        872,1583       3125,2206          0,7209 
        85,4532         31,7360       2338,5155        903,8944       3242,4099          0,7212 
        96,5314         11,5815       2435,0469        915,4758       3350,5227          0,7268 
        47,5531         16,4537       2482,6000        931,9295       3414,5295          0,7271 
        48,3322         15,0996       2530,9322        947,0291       3477,9613          0,7277 
        63,0213         16,0628       2593,9535        963,0919       3557,0454          0,7292 
        81,9101         17,4022       2675,8635        980,4941       3656,3576          0,7318 
        71,2136         15,8392       2747,0771        996,3333       3743,4104          0,7338 
        93,6654         20,2877       2840,7425       1016,6210       3857,3635          0,7364 
        37,2282         13,9167       2877,9706       1030,5377       3908,5083          0,7363 
        78,8649         33,9884       2956,8355       1064,5261       4021,3616          0,7353 
        96,3386         34,1357       3053,1741       1098,6618       4151,8359          0,7354 
        81,0550         27,8137       3134,2291       1126,4755       4260,7046          0,7356 
        91,3453         39,2791       3225,5744       1165,7546       4391,3290          0,7345 
        35,5593         38,8510       3261,1337       1204,6056       4465,7393          0,7303 
        96,5100         31,1422       3357,6437       1235,7478       4593,3915          0,7310 
        31,6328         26,5037       3389,2765       1262,2515       4651,5280          0,7286 
        43,5277         27,8593       3432,8042       1290,1108       4722,9150          0,7268 
        32,6865         28,7463       3465,4907       1318,8570       4784,3477          0,7243 
        87,7666         24,9153       3553,2573       1343,7723       4897,0296          0,7256 
        39,9168         17,9215       3593,1741       1361,6938       4954,8679          0,7252 
        92,9365          7,2173       3686,1106       1368,9111       5055,0217          0,7292 
        65,4522         25,9148       3751,5628       1394,8260       5146,3888          0,7290 
        74,6424         38,4594       3826,2052       1433,2854       5259,4906          0,7275 
        76,2615         19,9739       3902,4667       1453,2593       5355,7260          0,7287 
        90,2273          9,0059       3992,6941       1462,2652       5454,9593          0,7319 
        71,0071         20,6238       4063,7012       1482,8890       5546,5902          0,7326 
        70,3808         37,9384       4134,0820       1520,8274       5654,9095          0,7311 
        41,2776         39,0065       4175,3596       1559,8339       5735,1935          0,7280 
        31,4154         17,5511       4206,7750       1577,3850       5784,1601          0,7273 
        48,3729         15,9960       4255,1479       1593,3810       5848,5289          0,7276 
        44,4939         16,7913       4299,6419       1610,1723       5909,8142          0,7275 
        50,6710         31,4249       4350,3128       1641,5972       5991,9101          0,7260 
        47,5914         11,9682       4397,9042       1653,5655       6051,4696          0,7267 
        38,5376         38,5700       4436,4418       1692,1354       6128,5772          0,7239 
        46,0634         15,2674       4482,5051       1707,4028       6189,9080          0,7242 
        70,4195         25,4923       4552,9246       1732,8951       6285,8197          0,7243 
        34,7550         19,1148       4587,6796       1752,0099       6339,6895          0,7236 
